,,,,,,,,,,,,,,
,,CLTR205-002,대학글쓰기,3.0 ,,3.0 ,,,"월7A,7B,8A 금7A,7B,8A",,,KNU글로벌프라자-308,국어국문학과,
,,CLTR205-003,대학글쓰기,3.0 ,,3.0 ,,,"월5B,6A,6B 금5B,6A,6B",,,KNU글로벌프라자-308,독어독문학과,
,,CLTR205-004,대학글쓰기,3.0 ,,3.0 ,,,"월5B,6A,6B 금5B,6A,6B",,,인문대학-308,중어중문학과,
,,CLTR205-005,대학글쓰기,3.0 ,,3.0 ,,,"수1A,1B,2A 금2B,3A,3B",,,사회과학대학-103,심리학과,
,,CLTR205-006,대학글쓰기,3.0 ,,3.0 ,,,"월2B,3A,3B 금1A,1B,2A",,,생물학관-B04,생물학전공,
,,CLTR205-007,대학글쓰기,3.0 ,,3.0 ,,,"화1A,1B,2A 목2B,3A,3B",,,제1과학관-119,물리학과,
,,CLTR205-008,대학글쓰기,3.0 ,,3.0 ,,,"화1A,1B,2A 목2B,3A,3B",,,생명공학관(교양과정동)-209,물리학과,
,,CLTR205-009,대학글쓰기,3.0 ,,3.0 ,,,"월2B,3A,3B 금1A,1B,2A",,,생명공학관(교양과정동)-315,지구시스템과학부,
,,CLTR205-010,대학글쓰기,3.0 ,,3.0 ,,,"월2B,3A,3B 금1A,1B,2A",,,자연과학대학-B05,지구시스템과학부,
,,CLTR205-011,대학글쓰기,3.0 ,,3.0 ,,,"월2B,3A,3B 금1A,1B,2A",,,생명공학관(교양과정동)-104-1,지구시스템과학부,
,,CLTR205-012,대학글쓰기,3.0 ,,3.0 ,,,"월5B,6A,6B 금5B,6A,6B",,,공대12호관-211,고분자공학과,
,,CLTR205-013,대학글쓰기,3.0 ,,3.0 ,,,"월5B,6A,6B 금5B,6A,6B",,,공대3호관-504,고분자공학과,
,,CLTR205-014,대학글쓰기,3.0 ,,3.0 ,,,"월5B,6A,6B 금5B,6A,6B",,,공대6호관-101,에너지공학부,
,,CLTR205-015,대학글쓰기,3.0 ,,3.0 ,,,"수8B,9A,9B 금8B,9A,9B",,,농대1호관-401,농업경제학과,
,,CLTR205-016,대학글쓰기,3.0 ,,3.0 ,,,"토5A,5B 6A,6B 7A,7B",,,농대사과센타-301,농산업학과,
